feature,importance
NAME_HOUSING_TYPE_Co_op_apartment,0
FLAG_DOCUMENT_12,0
NAME_FAMILY_STATUS_Separated,0
FLAG_DOCUMENT_10,0
ORGANIZATION_TYPE_Industry__type_10,0
ORGANIZATION_TYPE_Industry__type_11,0
ORGANIZATION_TYPE_Industry__type_13,0
ORGANIZATION_TYPE_Transport__type_1,0
ORGANIZATION_TYPE_Trade__type_1,0
ORGANIZATION_TYPE_Services,0
ORGANIZATION_TYPE_Telecom,0
ORGANIZATION_TYPE_Religion,0
ORGANIZATION_TYPE_Legal_Services,0
ORGANIZATION_TYPE_Mobile,0
ORGANIZATION_TYPE_Security,0
FONDKAPREMONT_MODE_not_specified,0
ORGANIZATION_TYPE_XNA,0
FLAG_CONT_MOBILE,0
ORGANIZATION_TYPE_Trade__type_4,0
ORGANIZATION_TYPE_Trade__type_7,0
ORGANIZATION_TYPE_Trade__type_6,0
ORGANIZATION_TYPE_Trade__type_5,0
FONDKAPREMONT_MODE_reg_oper_spec_account,0
HOUSETYPE_MODE_terraced_house,0
HOUSETYPE_MODE_specific_housing,0
FONDKAPREMONT_MODE_org_spec_account,0
WALLSMATERIAL_MODE_Mixed,0
WALLSMATERIAL_MODE_Wooden,0
EMERGENCYSTATE_MODE_No,0
EMERGENCYSTATE_MODE_Yes,0
DAYS_EMPLOYED_ANOM,0
FLOORSMIN_MEDI_na,0
FLOORSMIN_MODE_na,0
FLOORSMIN_AVG_na,0
YEARS_BUILD_AVG_na,0
YEARS_BUILD_MODE_na,0
YEARS_BUILD_MEDI_na,0
OWN_CAR_AGE_na,0
EXT_SOURCE_1_na,0
FLOORSMAX_AVG_na,0
FLOORSMAX_MODE_na,0
FLOORSMAX_MEDI_na,0
YEARS_BEGINEXPLUATATION_AVG_na,0
YEARS_BEGINEXPLUATATION_MODE_na,0
YEARS_BEGINEXPLUATATION_MEDI_na,0
TOTALAREA_MODE_na,0
EXT_SOURCE_2_na,0
